name,type,elect,effect,version,removed in pok,exclude after,exclude in
Anti-Intellectual Revolution,Law,-,"FOR: After a player researches a technology, they must destroy 1 of their non-fighter ships. AGAINST: At the start of the next strategy phase, each player chooses and exhausts 1 planet for each technology they own.",base game,FALSE,,
Classified Document Leaks,Law,Scored Secret Objective,"When this agenda is revealed, if there are no scored secret objectives, discard this card and reveal another agenda from the top of the deck. The elected secret objective becomes a public objective; place it near the other public objectives in the common play area.",base game,FALSE,,
Committee Formation,Law,Player,"The elected player gains this card. Before players vote on an agenda that requires a player to be elected, the owner of this card may discard this card to choose a player to be elected. Players do not vote on that agenda.",base game,FALSE,,
Conventions of War,Law,-,FOR: Players cannot use BOMBARDMENT against units that are on cultural planets. AGAINST: Each player that voted Against discards all of their action cards.,base game,FALSE,,
Core Mining,Law,Hazardous Planet,"Attach this card to the elected planet's card. Then, destroy 1 infantry on the planet. The resource value of this planet is increased by 2.",base game,TRUE,,pok
Demilitarized Zone,Law,Cultural Planet,"Attach this card to the elected planet's card. Then, destroy all units on that planet. Player's units cannot land, be produced, or be placed on this planet.",base game,TRUE,,pok
Enforced Travel Ban,Law,-,FOR: Alpha and beta wormholes have no effect during movement. AGAINST: Destroy each PDS in or adjacent to a system that contains a wormhole.,base game,FALSE,,
Executive Sanctions,Law,-,FOR: Each player can have a maximum of 3 action cards in their hand. AGAINST: Each player discards 1 random action card from their hand.,base game,FALSE,,
Fleet Regulations,Law,-,FOR: Each player cannot have more than 4 tokens in their fleet pool. AGAINST: Each player places 1 command token from their reinforcements in their fleet pool.,base game,FALSE,,
Holy Planet of Ixth,Law,Cultural Planet,"Attach this card to the elected planet's card. The planet's owner gains 1 victory point. Units on this planet cannot use PRODUCTION. When a player gains control of this planet, they gain 1 victory point. When a player loses control of this planet, they lose 1 victory point.",base game,TRUE,,pok
Homeland Defense Act,Law,-,FOR: Each player can have any number of PDS units on planets they control. AGAINST: Each player destroys 1 of their PDS unit.,base game,FALSE,,
Imperial Arbiter,Law,Player,"The elected player gains this card. At the end of the strategy phase, the owner of this card may discard this card to swap 1 of their strategy cards with 1 of another player's strategy cards.",base game,FALSE,,
Minister of Commerce,Law,Player,"The elected player gains this card. After the owner of this card replenishes commodities, they gain 1 trade good for each player that is their neighbor.",base game,FALSE,,
Minister of Exploration,Law,Player,"The elected player gains this card. When the owner of this card gains control of a planet, they gain 1 trade good.",base game,FALSE,,
Minister of Industry,Law,Player,"The elected player gains this card. When the owner of this card places a space dock in a system, their units in that system may use their PRODUCTION abilities.",base game,FALSE,,
Minister of Peace,Law,Player,"The elected player gains this card. After a player activates a system that contains 1 or more of a different player's units, the owner of this card may discard this card; immediately end the active player's turn.",base game,FALSE,,
Minister of Policy,Law,Player,"The elected player gains this card. At the end of the status phase, the owner of this card draws 1 action card.",base game,FALSE,,
Minister of Sciences,Law,Player,"The elected player gains this card. When the owner of this card resolves the primary or secondary ability of the ""Technology"" strategy card, they do not need to spend resources to research technology.",base game,FALSE,,
Minister of War,Law,Player,The elected player gains this card. The owner of this card may discard this card after performing an action to remove 1 of their command counters from the game board and return it to their reinforcements; then they may perform 1 additional action.,base game,FALSE,,
Prophecy of Ixth,Law,Player,"The elected player gains this card. The owner of this card applies +1 to the result of their fighter's combat rolls. When the owner of this card uses PRODUCTION, they discard this card unless they produce 2 or more fighters.",base game,FALSE,,
Publicize Weapon Schematics,Law,-,"FOR: If any player owns a war sun technology, all players may ignore all prerequisites on war sun technologies. All war suns lose SUSTAIN DAMAGE. AGAINST: Each player that owns a war sun technology discards all of their action cards.",base game,FALSE,,
Regulated Conscription,Law,-,"FOR: When a player produces units, they produce only 1 fighter and infantry for its cost instead of 2. AGAINST: No effect.",base game,FALSE,,
Representative Government,Law,-,"FOR: Players cannot exhaust planets to cast votes during the agenda phase. Each player may cast 1 vote on each agenda instead. AGAINST: At the start of the next strategy phase, each player that voted Against exhausts all of their cultural planets.",base game,TRUE,,pok
Research Team: Biotic,Law,Industrial Planet,"Attach this card to the elected planet's card. When the owner of this planet researches technology, they may exhaust this card to ignore 1 green prerequisite.",base game,TRUE,,pok
Research Team: Cybernetic,Law,Industrial Planet,"Attach this card to the elected planet's card. When the owner of this planet researches technology, they may exhaust this card to ignore 1 yellow prerequisite.",base game,TRUE,,pok
Research Team: Propulsion,Law,Industrial Planet,"Attach this card to the elected planet's card. When the owner of this planet researches technology, they may exhaust this card to ignore 1 blue prerequisite.",base game,TRUE,,pok
Research Team: Warfare,Law,Hazardous Planet,"Attach this card to the elected planet's card. When the owner of this planet researches technology, they may exhaust this card to ignore 1 red prerequisite.",base game,TRUE,,pok
Senate Sanctuary,Law,Cultural Planet,Attach this card to the elected planet's card. The influence value of this planet is increased by 2.,base game,TRUE,,pok
Shard of the Throne,Law,Player,"The elected player gains this card and 1 victory point. A player gains this card and 1 victory point when they win a combat against the owner of this card. Then, the previous owner of this card loses 1 victory point.",base game,TRUE,,pok
Shared Research,Law,-,"FOR: Each player's units can move through nebulae. AGAINST: Each player places a command token from their reinforcements in their home system, if able.",base game,FALSE,,
Terraforming Initiative,Law,Hazardous Planet,Attach this card to the elected planet's card. The resource and influence values of this planet are increased by 1.,base game,TRUE,,pok
The Crown of Emphidia,Law,Player,"The elected player gains this card and 1 victory point. A player gains this card and 1 victory point after they gain control of a planet in the home system of this card's owner. Then, the previous owner of this card loses 1 victory point.",base game,TRUE,,pok
The Crown of Thalnos,Law,Player,"The elected player gains this card. During each combat round, the owner of this card may reroll any number of dice; they must destroy each of their units that did not produce a hit with its reroll. ( Typo: The card itself says ""The Crown of Thanlos,"" but rules referring to it use the correct name.)",base game,TRUE,,pok
Wormhole Reconstruction,Law,-,FOR: All systems that contain either an alpha or beta wormhole are adjacent to each other. AGAINST: Each player places a command token from their reinforcements in each system that contains a wormhole and 1 or more of their ships.,base game,FALSE,,
Archived Secret,Directive,Player,Elected player draws 1 secret objective.,base game,FALSE,,
Arms Reduction,Directive,-,"FOR: Each player destroys all but 2 of their dreadnaughts and all but 4 of their cruisers. AGAINST: At the start of the next strategy phase, each player exhausts each of their planets that have a technology specialty.",base game,FALSE,,
